Address ,Entity,Entity Address ,Residence ,Acreage,Notes,Image URL
420 S. Kaley St ,1242 Queen Land Trust,1242 Queen,SB Portage ,0.12,,
1512 FORD ST,URBAN ENTERPRISE ASSOCIATION OF SOUTH BEND INC,227 W Jefferson Blvd 1400,SB Portage,0.1,"One House, corner property, 2 sides open to road, across from empty building, close to la casa",http://southbend.maps.arcgis.com/sharing/rest/content/items/867dfafe61d14214ae9ce6dcfcee5852/data
606 Pulaski ST,Barefoot Holdings LLC,333 Imus Mishawaka,SB Portage,0.11,"Partial shade,  residential, houses both sides, Calpro nearby",
437 S BROOKFIELD ST, PROPERTY MANAGEMENT SERVICES & DEVELOPMENT LLC DBA PMSD,"P O Box 1104 Mishawaka, IN 46546",SB Portage,0.13,,http://southbend.maps.arcgis.com/sharing/rest/content/items/dfc70bd1b0d64e659653f9cd8ca56aea/data
836 S BROOKFIELD ST,ASSOCIATES FINANCIAL SERVICES COMPANY INC,836 S Brookfield,SB Portage,0.12,,
705 S BROOKFIELD ST,CAF REAL ESTATE LLC,512 W Edison Rd Ste 5,SB Portage,0.12,,http://southbend.maps.arcgis.com/sharing/rest/content/items/df163c1642dc43fba93329fa461aaa8b/data
441 S BROOKFIELD ST,URBAN ENTERPRISE ASSOCIATION OF SOUTH BEND INC,,SB Portage,0.12,Entity may be the city ,http://southbend.maps.arcgis.com/sharing/rest/content/items/3f8d6b4185174a669043b2aebc21dc4d/data
437 S BROOKFIELD ST,PROPERTY MANAGEMENT SERVICES & DEVELOPMENT LLC DBA PMSD,,SB Portage,0.13,,http://southbend.maps.arcgis.com/sharing/rest/content/items/3f8d6b4185174a669043b2aebc21dc4d/data
1330 W DUNHAM ST,URBAN ENTERPRISE ASSOCIATION OF SOUTH BEND INC,227 W Jefferson Blvd 1400,SB Portage,0.11,entity may be the city ,
617 S JACKSON ST,LUPO HOUSE,"52606 Highland Dr. South Bend, IN",SB Portage ,0.11,,http://southbend.maps.arcgis.com/sharing/rest/content/items/43990340a4b8474ea8412f34f4a56f1d/data
811 S ARNOLD ST,AEGUITAS I LLC,933 East 1910 South Ste 202,SB Portage,0.04,,
1212 W DUNHAM ST,WINNINGHAM PROPERTIES LLC,10828 Curtis Av,SB Portage,0.15,,
1710 W DUNHAM ST,ASSOCIATES FINANCIAL SERVICES COMPANY INC SEE NOTES,1706-1710 Dunham St,SB Portage,0.12,,
606 S JACKSON ST,CHASE MORTGAGE CO,606 S JACKSON,SB Portage,0.11,Well-maintained,http://southbend.maps.arcgis.com/sharing/rest/content/items/8e828cc51a514ec2a1e4385e942a34b0/data
